publication_date,Post_Text,Impressions,Engagements,Reactions,Shares
6/22/2021,"Did you miss our webinar on household financial well-being in the Southeast? Tune into the discussion, featuring panelists from the Consumer Financial Protection Bureau, Aspen Institute Financial Security Program, Capital Good Fund, and Economic Security Project. https://bit.ly/3gOQIVc #EveryonesEconomy",265,7,4,1
3/22/2021,"The Atlanta Fed is proud of its diverse workforce, but achieving diversity doesn’t happen on its own. To further our efforts, we’re looking for a Diversity and Inclusion/Equal Employment Opportunity (EEO) consultant. This person will help connect diversity, equity, and inclusion concepts and EEO data and analytics with business initiatives and the Bank's strategic goals. Further, this consultant will manage, produce, and present the related information flow among business lines to achieve desired outcomes. The ideal candidate has Tableau and Power BI experience. Apply at https://bit.ly/2Z2waAZ. Refer to job number 267385.",968,51,27,5
3/24/2021,"The overwhelmingly universal impact of this pandemic is striking, but perhaps more troubling is the way in which it has exacerbated existing inequities in health outcomes. Our #AmericanVoicesProject report recounts indirect health consequences of COVID-19. https://lnkd.in/eyGKxuK",564,10,9,1
3/25/2021,President Raphael Bostic of the Atlanta Fed speaks today at noon to the Economic Club of New York on inflation and employment and the critical need for racial equity in the economy. https://bit.ly/3vVPXQK,1026,50,28,1
3/25/2021,"Women at one time couldn't open a bank account, obtain a credit card, or get a mortgage or business loan in their own names. Take On Payments looks at how the role of women in the world of finance and payments has evolved. https://bit.ly/3sgKrpM #womenshistorymonth",767,37,20,1
3/27/2021,NULL,1040,30,14,0
3/27/2021,An increasing number of firms anticipate higher inflation in the coming year. A new Policy Hub: Macroblog post parses recent survey data to learn more about factors influencing their expectations. https://bit.ly/3d5upIU,545,21,7,1
3/28/2021,"We’re excited to announce the agenda and speakers for our 2021 Financial Markets Conference, “Fostering a Resilient Economy and Financial System: The Role of Central Banks.”https://bit.ly/38WgQKD #FedFMC",1265,72,31,3
3/28/2021,Workplace practitioners cite a need for the pandemic recovery to result in policies that prioritize goals and investment to create a labor market that can withstand future recessions. Review the most recent Ask Us Anything webinar to learn more. https://bit.ly/3d2YAAn #EveryonesEconomy,745,26,14,1
3/29/2021,"The Atlanta Fed is looking for someone has experience as a full-stack Java applications developer. The right person for this position will collaborate to design and implement solutions and architectural design patterns requiring complex technologies across multiple platforms. You’ll work in an agile environment, and you’ll collaborate with a team, so strong interpersonal skills are a must! If you have experience in user interface design and development using Java, and if you have experience with Websphere, Oracle, and CI/CD, let’s talk! Having payments or ACH experience is a plus. Apply at https://bit.ly/32SdpyS. Refer to job number 267669.",799,30,14,2
3/30/2021,"How has the pandemic affected wage growth, and do the changes differ from previous economic upheavals? A Policy Hub: Macroblog post consults recent data to see how worker pay has fared in the time of COVID. https://bit.ly/3fdWAIg",685,18,14,1
4/1/2021,"Before members of the Federal Open Market Committee convene to discuss and vote on the course of monetary policy, they’ve already done an enormous amount of preparation. This Economy Matters article goes inside the advance work, and the aftermath, of a policymaking meeting. https://bit.ly/31gFrFy",486,19,10,1
4/1/2021,"Last year, the nation and the Fed dealt with several interrelated challenges: a global pandemic, a steep economic downturn, and racial turmoil. In our 2020 annual report, Atlanta Fed president Raphael Bostic reflects on the year gone by. #EveryonesEconomy https://bit.ly/3rGsmjw",1862,101,56,10
4/2/2021,#atlfedREIN hosted the Travel & Tourism Advisory Council meeting last week out of the Miami Branch. https://bit.ly/3mdaqMu,547,22,12,4
4/2/2021,"Racism and the Economy is a virtual series hosted by all 12 regional Reserve Banks of the U.S. Federal Reserve System. The series brings together community, business, and academic leaders to examine the economic impact of racism and advance bold ideas and concrete actions to achieve an economy that makes opportunity available to everyone. 

The fifth installment of the series will focus on how racism affects the people and practice of economics and takes place April 13, 2021, at 12 p.m. ET. 
For full event information and to register, visit: https://bit.ly/3dfbTOc
",788,35,17,2
4/2/2021,"Learn how two state public-private partnerships are working to mitigate benefits cliffs from Alex Ruder and Julie Kornegay at the 2021 Alabama Interstate Development Convening on April 5, 2021. 

Register: https://bit.ly/3ugYFY5

#EveryonesEconomy ",572,23,11,2
4/3/2021,"Low interest rates have spurred home sales, and low inventories of homes for sale have pushed prices up. This Economy Matters article discusses the Home Ownership Affordability Monitor’s newest findings. https://bit.ly/2PjaSwE",611,25,12,0
4/3/2021,"Examining firms’ inflation perceptions, expectations, and uncertainty, the authors of this working paper find that firms’ expectations for the nominal side of the economy have little in common with households’ expectations, moving instead in tandem with inflation expectations of professional forecasters and market participants. https://bit.ly/3u8N5OJ",365,7,5,0
